class_id,label,action,category
Q31629,type of sport,assign,type of sport
Q595523,notion,split,
Q12558574,point of view,split,
Q1549152,public institution,assign,public institution
Q234460,text,split,
Q118870638,two-dimensional object,split,
Q478798,image,split,
Q7725310,series of creative works,assign,series of creative works
Q17334923,physical location,assign,physical location
Q10648343,duo,assign,duo
Q115385384,astronomical body part,assign,astronomical body part
Q2897903,goods and services,split,
Q3241045,disease outbreak,assign,Events
Q7189713,physiological condition,assign,physiological condition
Q18515440,sports transaction,split,
Q31603,draft,assign,Events
Q24334685,mythical entity,assign,mythical entity
Q123240632,specifically dependent continuant,split,
Q123241435,realizable entity,split,
Q4897819,role,split,
Q2305441,social process,split,
Q2198779,unit,split,
Q11953984,linguistic unit,assign,linguistic unit
Q25404640,spatial object,assign,spatial object
Q214339,role,assign,role
C58415929,spatio-temporal entity (Class Pages),split,
Q86923152,risk source,split,
Q628523,message,split,
Q104637332,planned process,split,
Q11491547,routine,split,
Q40056,computer program,assign,computer program
Q609298,social interaction,split,
Q1132455,hazard,assign,Events
Q839578,group dynamics,split,
Q180684,conflict,assign,Events
Q35825432,converter,split,
Q11019,machine,assign,machine
Q1791627,cultural artifact,split,
Q15621286,intellectual work,split,
Q28877,goods,split,
Q26256810,topic,split,
Q8436,family,assign,family
Q122764215,personal risk,split,
Q135268423,generic set,split,
Q618779,award,assign,Events
Q6881511,enterprise,assign,enterprise
C132907471,individual item (Class Pages),split,
C4406616,concrete object (Class Pages),split,
Q134480019,proto-agent,split,
Q1260632,content,split,
Q33122512,social sciences and humanities,split,
Q188572,fact,split,
Q1856757,legal fact,split,
Q1864008,legal act,split,
C13196193,part (Class Pages),split,
Q327055,worker,split,
Q115431196,violent conflict,assign,Events
Q88392887,part of a work,split,
Q2000344,tactic,split,
Q207645,military tactics,split,
Q15627509,military organization,assign,military organization
Q26887428,nation at competition,assign,Events
Q43339602,travel hazard,assign,Events
Q21040055,aspect,split,
C2897903,goods and services (Class Pages),split,
Q1151067,rule,split,
Q1047113,field of study,split,
Q27968055,recurring event edition,assign,Events
C1293220,physical phenomenon (Class Pages),split,
Q74817647,aspect in a geographic region,split,
Q121359,infrastructure,split,
Q9350592,telecommunications infrastructure,split,
Q1068715,telecommunications network,split,
Q141683,broadcast network,assign,broadcast network
C17320256,physical process (Class Pages),split,
Q5313720,dumbing down,split,
Q13579947,misinformation,split,
Q483677,pseudoscience,split,
Q189760,voting,assign,Events
Q170584,project,split,
Q645883,military operation,assign,Events
Q13136,reference work,split,
Q34749,social science,split,
Q189656,disinformation,split,
Q159535,conspiracy theory,assign,Events
Q136772242,type of living thing,split,
Q136772238,animal type,assign,animal type
Q1310239,component,split,
Q203066,relation,split,
Q130901,binary relation,split,
Q431289,brand,assign,brand
Q11348,function,split,
Q317623,technical standard,assign,technical standard
Q91305654,discontinuous function,split,
Q8963063,discrete function,split,
Q133250,sequence,split,
Q3251388,continuum,split,
Q1704572,continuum,split,
Q112110,emblem,assign,emblem
Q17537576,creative work,split,
Q286583,manifestation,split,
C3505845,state (Class Pages),split,
Q125598647,continuant type,split,
Q125598382,independent continuant type,split,
Q125598210,immaterial entity type,split,
Q104098715,territorial entity type,assign,territorial entity type
C99527517,collective entity (Class Pages),split,
Q740752,transport company,assign,transport company
Q28108,political system,split,
Q1298668,science project,split,
Q116741534,group of video games,split,
Q7058673,video game series,assign,video game series
Q12136,disease,assign,disease
Q124222085,scientific study,split,
Q3490295,survey study,split,
Q49958,opinion poll,assign,Events
Q72070508,group or class of chemical entities,assign,group or class of chemical entities
Q1298356,egodocument,split,
Q2267856,personal testimonial,split,
C2996394,biological process (Class Pages),split,
Q185363,chronicle,assign,Events
Q381072,crisis,assign,Events
Q61788060,human activity,split,
C813912,condition (Class Pages),split,
Q18706315,hypothetical entity,split,
Q85776190,legal process,assign,Events
Q1379672,evaluation,split,
Q3433179,natural risk,assign,Events
Q811701,model series,assign,model series
Q134995802,type of website,assign,type of website
Q526719,ranking,split,
Q43099500,performing arts production,split,
Q135268494,group of 2,split,
Q363948,logical contradiction,split,
Q104813442,disagreement,split,
Q1255828,controversy,assign,Events
Q61961344,group of physical objects,split,
Q15831440,political studies,split,
Q36442,political science,split,
Q166542,international relations,split,
Q1168287,intervention,split,
Q1293664,open content,split,
Q1130645,open-source software,assign,open-source software
Q5919191,military intervention,assign,Events
C1310239,component (Class Pages),split,
C18603648,contributing factor (Class Pages),split,
Q136749248,way,split,
Q83620,thoroughfare,assign,thoroughfare
Q1886349,logo,assign,logo
Q17524420,aspect of history,split,
Q1554231,resource,split,
Q22676587,monarchic system,split,
Q7269,monarchy,split,
Q1485500,tangible good,split,
Q55412936,design element,split,
Q391414,architectural element,assign,architectural element
Q3030513,disappearance,assign,Events
Q868404,final good,split,
Q2548752,collective behavior,split,
C1322005,natural phenomenon (Class Pages),split,
Q116968243,non-humanoid,split,
Q13023682,non-human,split,
Q24249370,non-human animal,split,
Q6666023,motion,split,
Q747883,physical activity,split,
Q622852,domesticated animal,assign,domesticated animal
C12774177,means (Class Pages),split,
Q37866906,information resource,split,
Q49848,document,split,
Q1001059,writ,split,
Q85776190,legal process,split,
Q6087062,court proceeding,assign,Events
Q349,sport,split,
C28877,goods (Class Pages),split,
Q17376908,languoid,assign,languoid
Q5067949,chain of events,assign,Events
Q874405,social group,assign,social group
Q5589178,regime,split,
Q7270,republic,assign,republic
Q17173292,aggregation,split,
Q390066,object composition,split,
Q16773055,data aggregation,split,
Q27948,list,split,
Q20514253,blockchain,assign,blockchain
C223557,physical object (Class Pages),split,
Q71966963,religion or world view,split,
Q1836700,manufactured good,split,
Q29374366,active motion,split,
C3695082,sign (Class Pages),split,
Q381165,trophy,assign,Events
Q1681365,non-durable goods,split,
Q1194058,disposable product,split,
Q2095,food,assign,food
Q49773,social movement,assign,Events
Q12047512,psychological phenomenon,split,
Q1573906,concert tour,assign,Events
Q28797,applied science,split,
C1272626,representation (Class Pages),split,
Q12737077,occupation,assign,occupation
Q1347367,aptitude,split,
Q15911314,association,split,
Q191067,article,split,
Q843601,health sciences,split,
Q11190,medicine,split,
Q21070598,figure that may or may not be fictional,assign,figure that may or may not be fictional
Q29441572,heptad,split,
C64732777,biological phenomenon (Class Pages),split,
Q47461344,written work,assign,written work
Q732744,chemical classification,assign,chemical classification
Q1530022,religious organization,assign,religious organization
Q4117999,medical practice,split,
Q100159,euthanasia,split,
Q17089549,voluntary euthanasia,split,
Q10737,suicide,assign,Events
Q15731960,secondary body,split,
Q80793969,ranked list,assign,Events
Q1510761,social change,split,
Q18340964,power,split,
Q25107,power,split,
Q49773,social movement,split,
Q4430243,social organization,split,
Q1788992,criminal organization,assign,criminal organization
Q80071,symbol,assign,symbol
Q163740,nonprofit organization,assign,nonprofit organization
Q49447,world view,split,
Q1417149,rule-based system,split,
Q188889,code,assign,code
Q5390013,belief system,assign,belief system
Q12047513,mental process,split,
Q781413,cognitive process,split,
C2996394,biological process (Class Pages),split,
C22299433,multicellular organismal process (Class Pages),split,
C22269697,multi-organism process (Class Pages),split,
C2990593,animal behavior (Class Pages),split,
C22294683,biological process involved in intraspecies interaction between organisms (Class Pages),split,
C921513,social behavior (Class Pages),split,
Q1322005,natural phenomenon,split,
C1434121,animal communication (Class Pages),split,
C1066689,human communication (Class Pages),split,
Q7257,ideology,split,
Q1331926,decision making,split,
Q12888920,selection,split,
C609298,social interaction (Class Pages),split,
Q102205,fluid,split,
Q1155083,granular material,split,
Q5193264,cultural behavior,split,
Q106803732,conduct,split,
Q2001982,notation,assign,notation
C25481968,speech act (Class Pages),split,
C814441,assertion (Class Pages),split,
C80071,symbol (Class Pages),assign,symbol (Class Pages)
Q36133,soil,split,
Q2310214,pitch,assign,pitch
Q11435,liquid,split,
Q2101636,political power,split,
Q2324993,state power,split,
Q327197,legal transaction,split,
Q41614,constitutional monarchy,assign,constitutional monarchy
Q4284762,material flow,split,
Q7590,transport,split,
Q388791,group decision-making,split,
Q189760,voting,assign,Events
Q12909644,political ideology,split,
Q40050,drink,assign,drink
Q15088658,measured quantity value,split,
Q1949963,statistic,split,
Q483394,genre,split,
Q2633862,locomotion,split,
Q206021,flight,assign,Events
Q16334298,group of living things,split,
C965415,performative utterance (Class Pages),split,
C2620826,declaration (Class Pages),split,
Q66310127,immaterial component,split,
Q17176533,software component,assign,software component
Q608,human sexual behavior,assign,human sexual behavior
Q21004260,inquiry,assign,Events
C66394244,physical anatomical entity (Class Pages),split,
C1425577,promise (Class Pages),split,
C93288,contract (Class Pages),split,
C7214489,terms of service (Class Pages),assign,terms of service (Class Pages)
Q8380731,No label,split,
Q2927074,internet meme,assign,Events
Q1491995,connected space,split,
Q11235244,domain,split,
Q179461,religious text,assign,religious text
C86923152,risk source (Class Pages),split,
Q124964,coalition,split,
Q1792379,art genre,assign,art genre
Q43845,businessperson,split,
Q7991,natural science,split,
C8205328,artificial physical object (Class Pages),split,
Q703534,employee,split,
Q3796928,government employee,split,
Q212238,civil servant,assign,civil servant
Q3769299,human behavior,split,
Q17149090,armed organization,assign,armed organization
P95,Google,assign,Google
Q131524,entrepreneur,assign,entrepreneur
Q186081,time interval,assign,Events
Q17538258,recreative work,split,
Q11410,game,assign,game
Q340169,communications media,split,
C18706315,hypothetical entity (Class Pages),split,
Q4,death,assign,Events
C10675206,ingredient (Class Pages),split,
C25403900,food ingredient (Class Pages),assign,food ingredient (Class Pages)
Q8253,fiction,assign,fiction
Q29430681,triad,split,
Q2507626,water area,assign,water area
Q4502142,visual artwork,assign,visual artwork
Q64732777,biological phenomenon,split,
Q2996394,biological process,split,
Q22299433,multicellular organismal process,split,
Q2990593,animal behavior,split,
Q177634,community,assign,community
Q2625603,population,split,
Q33829,human population,assign,human population
Q863247,nomenclature,assign,nomenclature
Q31464082,source entity,split,
P166502,Seven_deadly_sins,assign,Seven_deadly_sins
Q93288,contract,split,
Q16873378,planetary body,assign,planetary body
Q119649004,published audio work,split,
Q1555508,radio program,assign,radio program
Q117865208,additive quantity,split,
Q2199864,duration,assign,Events
Q135930417,private data,split,
Q3702971,personal data,assign,personal data
Q35798,executive branch,split,
Q107093029,customer service worker,assign,customer service worker
P7643119,Supercheap_Auto,assign,Supercheap_Auto
Q66661745,group of artificial physical objects,split,
Q2169973,service provider,assign,service provider
Q1369650,professional sport,split,
Q15991290,professional sports league,assign,professional sports league
Q370330,convoy,assign,Events
C28732711,physical substance (Class Pages),split,
C35758,matter (Class Pages),split,
C10547012,common matter (Class Pages),split,
C6005984,baryonic matter (Class Pages),split,
C28555911,ordinary matter (Class Pages),split,
C10683158,substance (Class Pages),split,
C868404,final good (Class Pages),split,
Q16145172,trio,split,
C79529,chemical substance (Class Pages),split,
C43460564,chemical entity (Class Pages),split,
C79529,chemical substance (Class Pages),split,
Q2672648,social conflict,assign,Events
C1681365,non-durable goods (Class Pages),split,
Q104127086,memory,split,
Q9081,knowledge,split,
Q15893266,former entity,split,
Q1261026,printed matter,split,
C7406919,service (Class Pages),split,
C1194058,disposable product (Class Pages),split,
C118451828,food and beverage (Class Pages),assign,food and beverage (Class Pages)
Q1971694,game mode,assign,game mode
Q29428373,tetrad,split,
Q475023,exact science,split,
C7239,organism (Class Pages),split,
C123240632,specifically dependent continuant (Class Pages),split,
C123241435,realizable entity (Class Pages),split,
C4897819,role (Class Pages),split,
Q219160,couple,assign,couple
C1781513,position (Class Pages),assign,position (Class Pages)
Q187931,phrase,assign,phrase
Q816264,formal science,split,
Q47146,user interface,assign,user interface
Q135268501,Group of 7,assign,Group of 7
C937228,property (Class Pages),split,
Q11033,mass media,split,
Q11862829,academic discipline,assign,academic discipline
Q123421787,plan,split,
Q1371819,plan,split,
C21070598,figure that may or may not be fictional (Class Pages),assign,figure that may or may not be fictional (Class Pages)
C26902962,"products of manufacturing industries by OKPD and CPA 2002 (D), OKPD2 AND CPA 2008 (C) (Class Pages)",assign,"products of manufacturing industries by OKPD and CPA 2002 (D), OKPD2 AND CPA 2008 (C) (Class Pages)"
P488,Atomic_bombings_of_Hiroshima_and_Nagasaki,assign,Events
Q117670709,add-on,split,
Q13473501,collective,split,
Q362200,accessory,split,
Q1065579,fashion accessory,split,
Q2695280,technique,split,
Q431603,advocacy group,split,
Q107655869,group of awards,assign,Events
Q135268500,Group of 6,assign,Group of 6
Q7406919,service,split,
Q1273271,e-service,assign,e-service
Q1318295,narrative,split,
Q3152824,cultural institution,assign,cultural institution
Q55753593,sibling trio,assign,sibling trio
Q10541491,legal form,split,
Q649732,formal system,split,
Q192161,formal language,assign,formal language
Q12142910,fluid flow,split,
Q123153154,Therapy speak,assign,Therapy speak
C114023761,polymorphism (Class Pages),assign,polymorphism (Class Pages)
Q119648442,print-native publication,split,
Q41298,magazine,assign,magazine
Q123588392,type of tool,split,
Q15921555,flight,assign,Events
Q13442814,scholarly article,split,
Q7318358,review article,split,
Q20136634,Wikipedia overview article,assign,Wikipedia overview article
Q60971579,destructive behavior,split,
Q124490,violence,assign,Events
Q80083,humanities,split,
C2574811,cause (Class Pages),split,
C214609,material (Class Pages),split,
Q12483,statistics,split,
Q2142347,environmental factor,split,
Q1754533,source text,split,
Q1063801,tertiary source,split,
Q13136,reference work,split,
Q1156854,policy,split,
Q136410232,research organization,split,
Q31855,research institute,assign,research institute
C123349660,geolocatable entity (Class Pages),assign,geolocatable entity (Class Pages)
Q124078422,weapon type,assign,weapon type
Q35308049,statistical data,split,
Q2725376,demographics,assign,demographics
C58778,system (Class Pages),split,
Q12184,pandemic,assign,Events
Q3968640,mental state,split,
C6671777,structure (Class Pages),split,
Q732722,vortex,split,
C1799072,method (Class Pages),split,
Q6999,astronomical object,assign,astronomical object
Q451967,intentional human activity,split,
C1681365,non-durable goods (Class Pages),split,
C1194058,disposable product (Class Pages),split,
C2095,food (Class Pages),assign,food (Class Pages)
Q1292119,style,split,
Q34394,belief,split,
C12047512,psychological phenomenon (Class Pages),split,
C12047513,mental process (Class Pages),split,
C781413,cognitive process (Class Pages),split,
C160402,perception (Class Pages),split,
Q1475848,risk factor,split,
Q79602,cyclone,assign,Events
Q1172284,data set,split,
C25404640,spatial object (Class Pages),split,
Q10855152,individual organism,split,
Q546113,public policy,assign,Events
C26713767,region of space (Class Pages),assign,region of space (Class Pages)
Q26401003,individual animal,assign,individual animal
Q926230,effect,split,
C1931388,cause of death (Class Pages),split,
Q651943,signifier,split,
Q82799,name,split,
C795052,individual (Class Pages),split,
C215627,person (Class Pages),assign,person (Class Pages)
Q1860557,self-concept,split,
Q844569,identity,split,
Q61685689,tournament system,assign,tournament system
C67518978,occurrent (Class Pages),split,
Q609748,emerging communicable disease,assign,emerging communicable disease
Q1666019,pressure group,split,
Q24384,season,assign,Events
Q258403,utterance,split,
Q965415,performative utterance,split,
Q2620826,declaration,assign,Events
Q8513,database,split,
Q1156831,umbrella organization,assign,umbrella organization
Q3233801,hate group,assign,hate group
Q18208034,indicator,split,
Q19307174,digital distribution platform,split,
Q63241860,streaming service,assign,streaming service
P48791260,VFL/AFL_premiership_and_grand_final_statistics,assign,VFL/AFL_premiership_and_grand_final_statistics
Q484652,international organization,assign,international organization
Q12890393,incident,assign,Events
C39546,physical tool (Class Pages),assign,physical tool (Class Pages)
Q4392985,religious identity,assign,religious identity
C98119401,group or class of physical objects (Class Pages),split,
C21871294,group or class of living things (Class Pages),split,
Q20920559,procedure,split,
Q600571,abuse,assign,Events
Q123057055,contest result,split,
Q2001305,television channel,assign,television channel
Q1826687,quartet,assign,quartet
Q211548,locus,split,
Q123139280,abstract object,split,
Q1406161,artistic theme,split,
Q1297322,satellite,assign,satellite
Q100906234,multinational military coalition,assign,multinational military coalition
Q1348645,instructional materials,split,
Q650241,financial institution,assign,financial institution
Q769620,social action,assign,Events
Q205961,skill,split,
Q112826905,class of anatomical entity,split,
Q87075524,health risk,split,
Q2424752,product,assign,product
Q15138389,Wikimedia article page,assign,Wikimedia article page
Q15265344,broadcaster,assign,broadcaster
Q34187,religious studies,split,
Q115144015,religion and society,assign,religion and society
Q59157079,biographic information,split,
Q20127274,certain aspects of a person's life,assign,Events
Q3433185,occupational hazard,split,
Q629257,work accident,assign,Events
C3622126,conceptual system (Class Pages),split,
P6223,Fascism,assign,Fascism
Q13136,reference work,split,
Q317623,technical standard,assign,technical standard
C14915034,course (Class Pages),split,
P74125210,2020_AFL_draft,assign,Events
Q179226,equestrianism,split,
Q902378,equestrian sport,split,
Q3001412,horse race,assign,Events
Q994895,technical system,split,
Q1135789,unintended consequences,split,
Q2920615,anthropogenic hazard,assign,Events
Q241317,computing platform,assign,computing platform
Q22269697,multi-organism process,split,
Q22294683,biological process involved in intraspecies interaction between organisms,split,
Q921513,social behavior,split,
Q609298,social interaction,split,
P38076,McDonald's,assign,McDonald's
C122853586,physical component (Class Pages),split,
Q796194,medical procedure,split,
Q12132146,No label,split,
Q41796,sentence,split,
C115385384,astronomical body part (Class Pages),split,
C35145263,natural geographic object (Class Pages),assign,natural geographic object (Class Pages)
P17199349,Casualties_of_the_Russo-Ukrainian_War,assign,Casualties_of_the_Russo-Ukrainian_War
Q24034552,mathematical concept,split,
Q774228,design requirement,assign,design requirement
Q35459920,three-dimensional object,split,
Q15142889,weapon family,split,
Q860861,sculpture,assign,sculpture
Q4470686,decoration,assign,decoration
Q2574811,cause,split,
Q2515887,pattern of behavior,split,
Q11042,culture,split,
Q1129632,translational motion,split,
C1132455,hazard (Class Pages),split,
Q2352616,catalogue,split,
C1184244,delict (Class Pages),assign,Events
C2485083,suicide method (Class Pages),assign,suicide method (Class Pages)
Q11492760,information services,assign,information services
Q474328,declarative sentence,split,
Q15116915,show,assign,Events
Q124809532,internal risk,split,
Q3972943,publishing,assign,publishing
Q3948731,web content,assign,Events
C134601875,group or class of people (Class Pages),split,
C134261520,group or class of humans (Class Pages),split,
C16334295,group of humans (Class Pages),split,
Q159810,economy,assign,economy
C12136,disease (Class Pages),split,
Q124757,riot,assign,Events
C3251388,continuum (Class Pages),split,
C1704572,continuum (Class Pages),split,
C102205,fluid (Class Pages),split,
C11435,liquid (Class Pages),split,
C40050,drink (Class Pages),assign,drink (Class Pages)
Q62391930,beauty pageant edition,assign,Events
C602884,social phenomenon (Class Pages),split,
C66310125,nonbiological component (Class Pages),split,
C853725,social relation (Class Pages),split,
Q207961,shape,split,
C6423319,knowledge organization system (Class Pages),split,
Q105948247,knowledge system,split,
Q17326725,group of companies,assign,group of companies
Q68619446,written contract,assign,Events
Q57338471,voters’ association,assign,voters’ association
Q80006,computer programming,assign,computer programming
C1656682,event (Class Pages),split,
C1172284,data set (Class Pages),assign,data set (Class Pages)
Q51591359,voting result,assign,Events
C28627,gestation (Class Pages),assign,gestation (Class Pages)
P41662,Ramadan,assign,Events
Q12136,disease,assign,disease
C340169,communications media (Class Pages),split,
Q6423319,knowledge organization system,split,
Q131362181,social science concept,split,
C35825432,converter (Class Pages),split,
C11019,machine (Class Pages),assign,machine (Class Pages)
Q117850,doctrine,split,
Q740464,legal act,assign,Events
Q1178984,vulnerability,split,
Q116861721,type of drink,assign,type of drink
Q3958441,economic sector,split,
P28406315,SmartBear,assign,SmartBear
Q116732893,social construct,split,
Q48277,gender,split,
Q48264,gender identity,assign,gender identity
P7603788,State_of_Origin_results_and_statistics,assign,State_of_Origin_results_and_statistics
Q2198855,cultural movement,split,
Q12139612,list,split,
Q108163,proposition,split,
C182940,dessert (Class Pages),assign,dessert (Class Pages)
C26907166,temporal entity (Class Pages),split,
P109973984,2022_AFL_draft,assign,Events
Q472971,space,split,
P42388,Zionism,assign,Zionism
Q1127759,cognitive bias,assign,cognitive bias
Q483372,paradox,assign,paradox
Q2097994,municipal corporation,assign,municipal corporation
Q4189293,rank,assign,rank
C27043948,material anatomical entity (Class Pages),assign,material anatomical entity (Class Pages)
C1689296,calamity (Class Pages),assign,Events
C184303,gift (Class Pages),assign,gift (Class Pages)
Q878249,alliance,split,
C1139327,rivalry (Class Pages),split,
C476300,competition (Class Pages),split,
C841654,competition (Class Pages),split,
C23807345,competition (Class Pages),split,
C13406554,sports competition (Class Pages),assign,Events
Q1454986,physical system,split,
Q11204,legislature,split,
Q184872,recreation,split,
Q1003030,test,split,
Q1200977,quaternary sector of the economy,split,
Q1030034,GLAM,assign,GLAM
P595841,Member_states_of_NATO,assign,Member_states_of_NATO
C751989,astronomical phenomenon (Class Pages),split,
Q11496165,combat technique,split,
Q3242199,strike,split,
P107293075,Eshay,assign,Eshay
Q1826286,religious movement,assign,religious movement
Q494756,data,split,
Q179661,medical treatment,split,
Q208500,principality,assign,principality
C1554231,resource (Class Pages),split,
Q189819,ritual,assign,Events
Q640506,cabinet,assign,Events
Q8513,database,assign,database
Q6857862,military strike,split,
Q678146,bombardment,assign,Events
C5127848,class (Class Pages),split,
Q1434121,animal communication,split,
